,aptDong,aptNm,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landLeaseholdGbn,rgstDate,sggCd,slerGbn,umdNm
154,,신원당(태영6),1993,,,,38000,8,2,2022,중개거래,경기 고양덕양구 경기 고양일산동구,54.91,6,731,N,,41281,,성사동
155,,은빛마을11단지,1996,,,,57000,15,2,2022,중개거래,경기 고양덕양구,60,11,961,N,,41281,,화정동
156,,대동피렌체주상복합,2006,,,,37000,17,2,2022,중개거래,경기 고양덕양구,84.95,5,615,N,,41281,,주교동
157,,소만마을9단지,1995,,,,34500,17,2,2022,중개거래,경기 고양덕양구,43.76,12,793,N,,41281,,행신동
158,,달빛마을(부영)2,1996,,,,43000,13,2,2022,중개거래,경기 고양덕양구,59.65,10,851,N,,41281,,화정동
159,,달빛마을3단지,1995,,,,55000,9,2,2022,중개거래,경기 고양덕양구,84.95,1,865,N,,41281,,화정동
160,,도래울센트럴더포레,2014,,,,77000,9,2,2022,중개거래,경기 고양덕양구,84.98,22,983,N,,41281,,도내동
161,,신원당(태영2),1993,,,,44800,8,2,2022,중개거래,경기 고양덕양구 경기 고양일산서구,59.04,9,723,N,,41281,,성사동
162,,도래울센트럴더포레,2014,,,,65000,8,2,2022,중개거래,경기 고양덕양구,74.98,12,983,N,,41281,,도내동
163,,주공그린빌,2003,,22.06.01,O,39500,12,2,2022,중개거래,경기 고양덕양구,75.95,8,996,N,,41281,,관산동
164,,삼송10단지동일스위트2차,2018,,,,68000,6,2,2022,중개거래,경기 고양덕양구,66.0932,5,661,N,,41281,,신원동
165,,화성그린빌,1998,,,,27200,6,2,2022,중개거래,경기 고양덕양구,84.64,3,103,N,,41281,,고양동
166,,새서울,1983,,,,18000,13,2,2022,중개거래,경기 고양덕양구,42.84,4,178-57,N,,41281,,관산동
167,,한라비발디,2004,,,,73000,14,2,2022,중개거래,경기 고양덕양구,84.8753,20,298,N,,41281,,토당동
168,,샘터마을2,1996,,,,43600,12,2,2022,중개거래,경기 고양덕양구,59.93,2,983,N,,41281,,행신동
169,,새서울,1983,,,,23500,9,2,2022,중개거래,경기 고양덕양구 경기 고양일산동구,56.7,5,178-57,N,,41281,,관산동
170,,신원당(태영2),1993,,,,44000,5,2,2022,중개거래,경기 고양덕양구,59.04,3,723,N,,41281,,성사동
171,,햇빛주공23,1996,,,,41000,21,3,2022,중개거래,경기 고양덕양구,59.93,7,953,N,,41281,,행신동
