,aptNm,buildYear,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,excluUseAr,floor,sggCd,umdNm,dealYearMonth
157,숲속마을8단지,2006,41500.0,1,1,2022,중개거래,59.72,14,41285,풍동,20221
158,백마마을(한성),1994,45500.0,12,1,2022,중개거래,50.16,6,41285,마두동,20221
159,중산마을2(코오롱),1995,29800.0,11,1,2022,중개거래,49.77,12,41285,중산동,20221
160,킨텍스원시티2블럭,2019,160000.0,4,1,2022,중개거래,84.5043,38,41285,장항동,20221
161,중산마을3단지(일신),1995,29800.0,5,1,2022,직거래,59.845,3,41285,중산동,20221
162,중산마을2(코오롱),1995,28000.0,6,1,2022,중개거래,49.77,7,41285,중산동,20221
163,"큰마을대림,현대아파트",2001,51500.0,14,1,2022,직거래,114.93,20,41287,탄현동,20221
164,후곡마을(동성),1994,55500.0,22,1,2022,중개거래,69.39,8,41287,일산동,20221
165,에이스11차,1996,36500.0,31,1,2022,중개거래,84.87,18,41287,일산동,20221
166,후곡마을(동아16),1995,37000.0,29,1,2022,중개거래,48.84,2,41287,일산동,20221
167,문촌마을7단지주공,1995,42500.0,24,1,2022,중개거래,49.69,14,41287,주엽동,20221
168,일산동문(3),1997,35000.0,29,1,2022,중개거래,58.988,14,41287,일산동,20221
169,가좌마을2단지대우,2005,43500.0,28,1,2022,중개거래,84.8566,8,41287,가좌동,20221
170,에이스10차,1996,40000.0,27,1,2022,중개거래,84.87,19,41287,일산동,20221
171,강선마을12단지두진,1994,28600.0,22,1,2022,중개거래,44.32,6,41287,주엽동,20221
172,강선마을14단지두산,1994,58750.0,20,1,2022,중개거래,59.76,14,41287,주엽동,20221
173,후곡마을(롯데),1994,75000.0,21,1,2022,중개거래,84.63,13,41287,일산동,20221
175,후곡마을(건영15),1994,50000.0,26,1,2022,중개거래,58.83,15,41287,일산동,20221
176,후곡마을(동신),1994,75000.0,28,1,2022,중개거래,116.85,2,41287,일산동,20221
177,일신.삼익아파트,2000,34000.0,24,1,2022,중개거래,59.94,12,41287,일산동,20221
178,후곡마을(현대18),1994,40500.0,29,1,2022,중개거래,59.925,8,41287,일산동,20221
180,강선마을13단지뉴서울,1995,24500.0,29,1,2022,중개거래,40.32,11,41287,주엽동,20221
181,문촌마을1단지우성,1994,39500.0,22,1,2022,중개거래,50.55,4,41287,주엽동,20221
182,탄현마을(삼익),1994,31900.0,25,1,2022,중개거래,59.97,4,41287,탄현동,20221
183,"강선마을6단지(금호,한양)",1994,117000.0,27,1,2022,중개거래,192.99,15,41287,주엽동,20221
184,탄현마을(동성),1994,50000.0,17,1,2022,중개거래,122.2,15,41287,탄현동,20221
